com_score,Percentage of negative
-427,1.0
-379,1.0
-266,1.0
-249,1.0
-207,1.0
-188,1.0
-181,0.5
-164,1.0
-158,1.0
-155,0.0
-145,0.5
-143,1.0
-133,1.0
-132,0.0
-129,1.0
-128,1.0
-126,0.0
-125,0.5
-124,1.0
-123,1.0
-121,0.0
-120,1.0
-118,1.0
-113,0.5
-107,1.0
-106,1.0
-105,1.0
-104,1.0
-101,0.75
-100,1.0
-97,1.0
-95,1.0
-94,1.0
-93,0.5
-92,1.0
-91,1.0
-90,1.0
-89,1.0
-88,1.0
-87,0.5
-86,1.0
-85,1.0
-84,1.0
-83,1.0
-82,1.0
-81,1.0
-80,1.0
-79,1.0
-78,1.0
-77,1.0
-76,1.0
-75,1.0
-74,1.0
-73,0.5
-72,0.5
-71,1.0
-70,1.0
-69,0.75
-68,0.8571428571428571
-67,1.0
-66,0.8333333333333334
-65,1.0
-64,1.0
-63,1.0
-62,1.0
-61,0.6
-60,0.8
-59,1.0
-58,1.0
-57,0.7142857142857143
-56,0.8333333333333334
-55,1.0
-54,1.0
-53,0.9166666666666666
-52,1.0
-51,1.0
-50,1.0
-49,0.8571428571428571
-48,0.8888888888888888
-47,1.0
-46,1.0
-45,0.8666666666666667
-44,0.8666666666666667
-43,0.75
-42,0.8
-41,0.8
-40,1.0
-39,0.9333333333333333
-38,0.7857142857142857
-37,0.8
-36,0.9375
-35,1.0
-34,0.9117647058823529
-33,0.9444444444444444
-32,0.8571428571428571
-31,0.9655172413793104
-30,0.8787878787878788
-29,0.9411764705882353
-28,0.8775510204081632
-27,0.9583333333333334
-26,0.8292682926829268
-25,0.9230769230769231
-24,0.9272727272727272
-23,0.9491525423728814
-22,0.9180327868852459
-21,0.9285714285714286
-20,0.9125
-19,0.9423076923076923
-18,0.923728813559322
-17,0.9459459459459459
-16,0.9105691056910569
-15,0.9459459459459459
-14,0.9493670886075949
-13,0.9491525423728814
-12,0.9343434343434344
-11,0.9377593360995851
-10,0.9457627118644067
-9,0.9173553719008265
-8,0.9238578680203046
-7,0.9372549019607843
-6,0.943127962085308
-5,0.9390088945362135
-4,0.9329446064139941
-3,0.9320036264732547
