com_score,Percentage of positive
-427,0.0
-379,0.0
-266,0.0
-249,0.0
-207,0.0
-188,0.0
-181,0.5
-164,0.0
-158,1.0
-155,1.0
-145,0.5
-143,0.0
-133,0.0
-132,0.0
-129,0.0
-128,0.0
-126,1.0
-125,0.0
-124,0.0
-123,0.0
-121,1.0
-120,0.0
-118,0.5
-113,0.5
-107,1.0
-106,0.0
-105,0.0
-104,0.5
-101,0.0
-100,0.0
-97,0.0
-95,0.0
-94,0.0
-93,0.0
-92,0.0
-91,0.0
-90,0.0
-89,0.0
-88,0.0
-87,0.5
-86,0.0
-85,0.5
-84,0.5
-83,0.4
-82,0.75
-81,0.0
-80,0.0
-79,0.5
-78,0.0
-77,0.4
-76,0.0
-75,0.0
-74,0.5
-73,0.0
-72,0.0
-71,0.0
-70,0.0
-69,0.0
-68,0.14285714285714285
-67,0.42857142857142855
-66,0.16666666666666666
-65,0.0
-64,0.2
-63,0.5
-62,0.2
-61,0.2
-60,0.0
-59,0.0
-58,0.0
-57,0.2857142857142857
-56,0.3333333333333333
-55,0.0
-54,0.2222222222222222
-53,0.16666666666666666
-52,0.25
-51,0.1
-50,0.0
-49,0.21428571428571427
-48,0.16666666666666666
-47,0.18181818181818182
-46,0.16666666666666666
-45,0.13333333333333333
-44,0.26666666666666666
-43,0.125
-42,0.2
-41,0.13333333333333333
-40,0.125
-39,0.06666666666666667
-38,0.14285714285714285
-37,0.2
-36,0.0
-35,0.15384615384615385
-34,0.23529411764705882
-33,0.3333333333333333
-32,0.19047619047619047
-31,0.10344827586206896
-30,0.21212121212121213
-29,0.11764705882352941
-28,0.16326530612244897
-27,0.20833333333333334
-26,0.17073170731707318
-25,0.15384615384615385
-24,0.21818181818181817
-23,0.1864406779661017
-22,0.16393442622950818
-21,0.21428571428571427
-20,0.1375
-19,0.19230769230769232
-18,0.1440677966101695
-17,0.15315315315315314
-16,0.13008130081300814
-15,0.20270270270270271
-14,0.11392405063291139
-13,0.14124293785310735
-12,0.16666666666666666
-11,0.16597510373443983
-10,0.10847457627118644
-9,0.1790633608815427
-8,0.14720812182741116
-7,0.1588235294117647
-6,0.15639810426540285
-5,0.1473951715374841
-4,0.14285714285714285
-3,0.15321849501359927
-2,0.13891577928363988
-1,0.12992781787895613
0,0.12799029875427184
1,0.10633166860504892
2,0.11686924493554328
3,0.11456457328763144
4,0.11888818698673405
5,0.11720918496088821
6,0.11644882023425565
7,0.11814961450302146
8,0.12381703470031545
9,0.1172093023255814
10,0.12024123633622315
11,0.11156278229448961
12,0.11065362840967576
13,0.1025043680838672
14,0.11922304085733422
15,0.1033672670321065
16,0.10973451327433628
17,0.10102899906454631
18,0.09497816593886463
19,0.13348164627363737
20,0.12672521957340024
21,0.1142433234421365
22,0.13488372093023257
23,0.09966777408637874
24,0.10526315789473684
25,0.11834319526627218
26,0.10412147505422993
27,0.10154525386313466
28,0.152
29,0.1318407960199005
30,0.09510086455331412
31,0.125
32,0.13059701492537312
33,0.10852713178294573
34,0.12648221343873517
35,0.13732394366197184
36,0.1228813559322034
37,0.14
38,0.10480349344978165
39,0.08947368421052632
40,0.12222222222222222
41,0.10795454545454546
42,0.09580838323353294
43,0.0782122905027933
44,0.09036144578313253
45,0.13675213675213677
46,0.09375
47,0.12318840579710146
48,0.087248322147651
49,0.16447368421052633
50,0.10743801652892562
51,0.09917355371900827
52,0.15833333333333333
53,0.09821428571428571
54,0.08411214953271028
55,0.11926605504587157
56,0.11235955056179775
57,0.10416666666666667
58,0.13
59,0.12903225806451613
60,0.14285714285714285
61,0.1
62,0.10752688172043011
63,0.04285714285714286
64,0.11764705882352941
65,0.08695652173913043
66,0.08333333333333333
67,0.04477611940298507
68,0.171875
69,0.10909090909090909
70,0.1267605633802817
71,0.08450704225352113
72,0.06557377049180328
73,0.07407407407407407
74,0.07142857142857142
75,0.06896551724137931
76,0.08196721311475409
77,0.043478260869565216
78,0.16279069767441862
79,0.07407407407407407
80,0.09090909090909091
81,0.17543859649122806
82,0.07894736842105263
83,0.13953488372093023
84,0.13559322033898305
85,0.1
86,0.275
87,0.05263157894736842
88,0.06666666666666667
89,0.07692307692307693
90,0.12121212121212122
91,0.08571428571428572
92,0.1111111111111111
93,0.19047619047619047
94,0.06896551724137931
95,0.05714285714285714
96,0.09302325581395349
97,0.125
98,0.17073170731707318
99,0.21739130434782608
100,0.18181818181818182
101,0.15
102,0.11428571428571428
103,0.10810810810810811
104,0.037037037037037035
105,0.20930232558139536
106,0.12903225806451613
107,0.07692307692307693
108,0.11538461538461539
109,0.125
110,0.0
111,0.034482758620689655
112,0.08695652173913043
113,0.19230769230769232
114,0.1
115,0.10526315789473684
116,0.12903225806451613
117,0.08823529411764706
118,0.041666666666666664
119,0.07407407407407407
120,0.04
121,0.05263157894736842
122,0.23076923076923078
123,0.1111111111111111
124,0.1
125,0.08695652173913043
126,0.10526315789473684
127,0.0
128,0.038461538461538464
129,0.047619047619047616
130,0.25
131,0.20833333333333334
132,0.3333333333333333
133,0.058823529411764705
134,0.13636363636363635
135,0.13043478260869565
136,0.12
137,0.17391304347826086
138,0.1111111111111111
139,0.15
140,0.16
141,0.16666666666666666
142,0.15789473684210525
143,0.0625
144,0.0
145,0.09523809523809523
146,0.0
147,0.13333333333333333
148,0.0
149,0.18181818181818182
150,0.09090909090909091
151,0.25
152,0.0625
153,0.14285714285714285
154,0.1
155,0.23076923076923078
156,0.0
157,0.17647058823529413
158,0.1111111111111111
159,0.08333333333333333
160,0.11764705882352941
161,0.0
162,0.13333333333333333
163,0.07692307692307693
164,0.0
165,0.2727272727272727
166,0.0
167,0.3333333333333333
168,0.18181818181818182
169,0.14285714285714285
170,0.18181818181818182
171,0.07692307692307693
172,0.09090909090909091
173,0.25
174,0.15384615384615385
175,0.0
176,0.16666666666666666
177,0.1
178,0.1
179,0.0
180,0.2
181,0.14285714285714285
182,0.0
183,0.25
184,0.08333333333333333
185,0.2
186,0.25
187,0.1111111111111111
188,0.07692307692307693
189,0.0
190,0.2222222222222222
191,0.2222222222222222
192,0.10526315789473684
193,0.0
194,0.375
195,0.08333333333333333
196,0.0
197,0.058823529411764705
198,0.0
199,0.0
200,0.2727272727272727
201,0.2
202,0.07692307692307693
203,0.3333333333333333
204,0.3333333333333333
205,0.0
206,0.0
207,0.25
208,0.09090909090909091
209,0.1111111111111111
210,0.2
