sub_score,Percentage of positive
0,0.10933962264150944
1,0.07755991285403051
2,0.06240713224368499
3,0.0234375
4,0.07804878048780488
5,0.08895705521472393
6,0.06402439024390244
7,0.08163265306122448
8,0.09358288770053476
9,0.09198813056379822
10,0.09659090909090909
11,0.07396449704142012
12,0.11212121212121212
13,0.07602339181286549
14,0.09742120343839542
15,0.1266233766233766
16,0.09782608695652174
17,0.06711409395973154
18,0.10625
19,0.08974358974358974
20,0.1276595744680851
21,0.11945392491467577
22,0.10749185667752444
23,0.11267605633802817
24,0.10181818181818182
25,0.12949640287769784
26,0.11956521739130435
27,0.09170305676855896
28,0.07894736842105263
29,0.08016877637130802
30,0.0958904109589041
31,0.07228915662650602
32,0.10714285714285714
33,0.10096153846153846
34,0.09387755102040816
35,0.10550458715596331
36,0.12222222222222222
37,0.09411764705882353
38,0.12790697674418605
39,0.11602209944751381
40,0.11956521739130435
41,0.07432432432432433
42,0.10919540229885058
43,0.14084507042253522
44,0.10471204188481675
45,0.10810810810810811
46,0.0967741935483871
47,0.14012738853503184
48,0.13142857142857142
49,0.125
50,0.11180124223602485
51,0.08849557522123894
52,0.09923664122137404
53,0.050359712230215826
54,0.1111111111111111
55,0.13286713286713286
56,0.031746031746031744
57,0.13138686131386862
58,0.12931034482758622
59,0.12179487179487179
60,0.06666666666666667
61,0.0859375
62,0.09219858156028368
63,0.1038961038961039
64,0.09022556390977443
65,0.09821428571428571
66,0.14705882352941177
67,0.1
68,0.1
69,0.08411214953271028
70,0.15384615384615385
71,0.10101010101010101
72,0.08333333333333333
73,0.10619469026548672
74,0.08928571428571429
75,0.10185185185185185
76,0.07476635514018691
77,0.0784313725490196
78,0.05952380952380952
79,0.09
80,0.10869565217391304
81,0.061855670103092786
82,0.12359550561797752
83,0.14130434782608695
84,0.17708333333333334
85,0.1111111111111111
86,0.09876543209876543
87,0.14285714285714285
88,0.07142857142857142
89,0.12631578947368421
90,0.15
91,0.1
92,0.07142857142857142
93,0.13793103448275862
94,0.0958904109589041
95,0.0945945945945946
96,0.0707070707070707
97,0.0641025641025641
98,0.11428571428571428
99,0.18333333333333332
100,0.0958904109589041
101,0.10714285714285714
102,0.17647058823529413
103,0.13580246913580246
104,0.1506849315068493
105,0.09722222222222222
106,0.09090909090909091
107,0.1323529411764706
108,0.1267605633802817
109,0.0967741935483871
110,0.208955223880597
111,0.16393442622950818
112,0.0958904109589041
113,0.12698412698412698
114,0.1125
115,0.12698412698412698
116,0.14666666666666667
117,0.10465116279069768
118,0.04838709677419355
119,0.029411764705882353
120,0.14893617021276595
121,0.2777777777777778
122,0.10714285714285714
123,0.09090909090909091
124,0.09230769230769231
125,0.1111111111111111
126,0.03278688524590164
127,0.07692307692307693
128,0.10810810810810811
129,0.0784313725490196
130,0.1206896551724138
131,0.06349206349206349
132,0.078125
133,0.16666666666666666
134,0.1875
135,0.07462686567164178
136,0.18867924528301888
137,0.1111111111111111
138,0.13953488372093023
139,0.041666666666666664
140,0.0847457627118644
141,0.0
142,0.17307692307692307
143,0.08
144,0.075
145,0.10144927536231885
146,0.1794871794871795
147,0.15217391304347827
148,0.16
149,0.045454545454545456
150,0.06976744186046512
151,0.05660377358490566
152,0.07142857142857142
153,0.13559322033898305
154,0.044444444444444446
155,0.08571428571428572
156,0.125
